id,province_name,city_name,dealer,customer_code,ERP_connection,sell in sales name,2TL Bosch sales name,sell out sales name,warehouse_type,warehouse_name,warehouse_code,warehouse_address,KZ_coverage_tag,GBB_category_tag
,河北省,保定市,江苏康众汽配有限公司,KZ,是,,,,康众门店,保定蠡县仓库（合作）,,河北省保定市蠡县蠡县紫薇东路（蠡县县医院东行50米）,,
,内蒙古自治区,乌海市,江苏康众汽配有限公司,KZ,是,,,,康众门店,乌海海勃湾仓库,,内蒙古自治区乌海市海勃湾区海达西街龙达汽修大院里康众汽车配件,,
,河北省,唐山市,江苏康众汽配有限公司,KZ,是,,,,康众门店,唐山玉田仓库（合作）,,河北省唐山市玉田县玉田镇上坎村前六街67号,,
,北京市,北京市,江苏康众汽配有限公司,KZ,是,,,,康众门店,天津宝坻仓库,,天津市天津城区宝坻区钰华街北方摩托城院内康众汽车配件,,
,山西省,太原市,江苏康众汽配有限公司,KZ,是,,,,康众门店,太原迎泽仓库,,山西省太原市迎泽区太榆路120号,,
,北京市,北京市,江苏康众汽配有限公司,KZ,是,,,,康众门店,天津蓟州仓库,,天津市天津城区蓟州区津围公路火车货运站路口对面康众汽车配件 ,,
,河北省,唐山市,江苏康众汽配有限公司,KZ,是,,,,康众门店,唐山古冶仓库（合作）,,河北省唐山市古冶区古冶街道新华街市场商业楼(交通岗西侧西数一号底商）,,
,河北省,唐山市,江苏康众汽配有限公司,KZ,是,,,,康众门店,唐山曹妃甸仓库（合作）,,河北省唐山市曹妃甸区曹妃甸唐海镇幸福花园3区C01-107,,
,山西省,长治市,江苏康众汽配有限公司,KZ,是,,,,康众门店,长治西二环仓库（合作）,,山西省长治市潞州区西二环路蒋村（中国石化加油站对面）,,
,天津市,天津市,江苏康众汽配有限公司,KZ,是,,,,康众门店,新康众天津物流中心(友商),,天津市天津城区西青区中北镇盛源路3号康众汽车配件,,
,河北省,邢台市,江苏康众汽配有限公司,KZ,是,,,,康众门店,邢台临西仓库（合作）,,河北省邢台市临西县运河西路清华园小区对面,,
,内蒙古自治区,锡林郭勒盟,江苏康众汽配有限公司,KZ,是,,,,康众门店,锡林浩特额吉淖尔仓库,,内蒙古自治区锡林郭勒盟锡林浩特市额办阿日嘎朗图社区牧民一条街01023,,
,陕西省,安康市,江苏康众汽配有限公司,KZ,是,,,,康众门店,朔州振华仓库,,山西省朔州市朔城区张辽北路北新小区对面康众汽车配件,,
,山西省,长治市,江苏康众汽配有限公司,KZ,是,,,,康众门店,长治汽贸园仓库（合作）,,山西省长治市潞州区北环东街关村汽贸园康众汽配,,
,河北省,廊坊市,江苏康众汽配有限公司,KZ,是,,,,康众门店,廊坊固安仓库（合作）,,河北省廊坊市固安县大留村对面汽配城a栋3号,,
,河北省,石家庄市,江苏康众汽配有限公司,KZ,是,,,,康众门店,石家庄鹿泉仓库（合作）,,河北省石家庄市鹿泉区鹿泉区龙泉东路付家庄村口,,
,河北省,唐山市,江苏康众汽配有限公司,KZ,是,,,,康众门店,唐山丰南仓库（合作）,,河北省唐山市丰南区唐山市丰南区青年路246号,,
,河北省,石家庄市,江苏康众汽配有限公司,KZ,是,,,,康众门店,石家庄东联仓库,,河北省石家庄市长安区光华路169号,,
,河北省,邯郸市,江苏康众汽配有限公司,KZ,是,,,,康众门店,邯郸宏达仓库,,河北省邯郸市邯山区南堡乡华山东街南头东侧（南堡乡西上宋后村村北）,,
,内蒙古自治区,乌兰察布市,江苏康众汽配有限公司,KZ,是,,,,康众门店,乌兰察布森诺仓库（合作）,,内蒙古自治区乌兰察布市集宁区森诺汽车城6栋25-26,,
,内蒙古自治区,乌兰察布市,江苏康众汽配有限公司,KZ,是,,,,康众门店,乌兰察布新体路仓库（合作）,,内蒙古自治区乌兰察布市集宁区天佐名苑小区底商 康众汽配,,
,内蒙古自治区,阿拉善盟,江苏康众汽配有限公司,KZ,是,,,,康众门店,阿左旗南环仓库（合作）,,内蒙古自治区阿拉善盟阿拉善左旗南环路南侧（铁厂南）,,
,内蒙古自治区,呼和浩特市,江苏康众汽配有限公司,KZ,是,,,,康众门店,呼和浩特保全庄仓库,,内蒙古自治区呼和浩特市赛罕区保全庄神农医院东150米,,
,内蒙古自治区,呼和浩特市,江苏康众汽配有限公司,KZ,是,,,,康众门店,呼和浩特如意仓库,,内蒙古自治区呼和浩特市赛罕区巨海城三区东门,,
,北京市,北京市,江苏康众汽配有限公司,KZ,是,,,,康众门店,衡水桃城仓库,,河北省衡水市桃城区青年桥桃源路14号康众汽配,,
